,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price,Unnamed: 0
2006-07-21 00:00:00,-0.0,M,-2147483648,,Bernstein,Not Provided,3,market perform,84.33,181.0
2006-07-10 00:00:00,-0.0,M,-2147483648,,Wells Fargo Securities,Not Provided,3,market perform,-0.0,182.0
2006-07-03 00:00:00,-0.0,M,-2147483648,,Fearnley Securities,6 month,5,buy,134.36,183.0
2006-06-26 00:00:00,-0.0,M,-2147483648,,Goldman Sachs,Not Provided,3,in-line/attractive,145.8,184.0
2006-06-23 00:00:00,-0.0,M,-2147483648,,RBC Capital Markets,Not Provided,5,outperform,182.96,185.0
2006-06-23 00:00:00,-0.0,R,-2147483648,,Oppenheimer & Co,12 month,5,buy,150.09,186.0
2006-06-21 00:00:00,-0.0,M,-2147483648,,Natixis Securities Americas LLC,12 month,-2147483648,no rating system,151.52,187.0
2006-06-20 00:00:00,-0.0,N,-2147483648,,Tudor Pickering & Co,Not Provided,4,accumulate,-0.0,188.0
2006-06-05 00:00:00,-0.0,M,-2147483648,,Soleil Securities,Not Provided,5,buy,227.27,189.0
2006-06-02 00:00:00,-0.0,R,-2147483648,,FBR Capital Markets,Not Provided,5,outperform,147.23,190.0
2006-05-24 00:00:00,-0.0,M,-2147483648,,Credit Suisse,12 month,5,outperform,151.52,191.0
2006-05-17 00:00:00,-0.0,M,-2147483648,,Scotia Howard Weil Inc,12 month,5,buy,145.8,192.0
2006-05-08 00:00:00,-0.0,D,-2147483648,,A.G. Edwards & Sons Inc,Not Provided,3,hold,-0.0,193.0
2006-05-08 00:00:00,-0.0,R,-2147483648,,Raymond James,12 month,5,outperform,150.09,194.0
2006-05-05 00:00:00,-0.0,M,-2147483648,,Stanford Group,12 month,3,hold,124.36,195.0
2006-05-05 00:00:00,-0.0,M,-2147483648,,Barclays,Not Provided,5,overwt/positive,143.65,196.0
2006-05-01 00:00:00,-0.0,D,-2147483648,,Morgan Stanley,Not Provided,1,Underwt/Attractive,-0.0,197.0
2006-04-20 00:00:00,-0.0,M,-2147483648,,UBS,Not Provided,5,buy 2,150.09,198.0
2006-02-24 00:00:00,-0.0,M,-2147483648,,Johnson Rice & Co,Not Provided,5,overweight,-0.0,199.0
2006-02-15 00:00:00,-0.0,R,-2147483648,,Jefferies,12 month,5,buy,131.5,200.0
2006-02-15 00:00:00,-0.0,M,-2147483648,,Aperion Group LLC,12 month,5,buy,200.11,201.0
2006-02-07 00:00:00,-0.0,M,-2147483648,,Bear Stearns & Co,Not Provided,5,outperform,142.94,202.0
2005-11-08 00:00:00,-0.0,U,-2147483648,,J.P. Morgan,Not Provided,3,neutral,-0.0,203.0
