,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price
997,-0.000000,M,-2147483648,2012-12-20,Morgan Stanley,Not Provided,3,Equalwt/In-Line,-0.000000
998,-0.000000,M,-2147483648,2012-12-20,J.P. Morgan,12 month,3,neutral,103.310000
999,-0.000000,M,-2147483648,2012-12-20,Macquarie,12 month,3,neutral,92.710000
1000,-0.000000,M,-2147483648,2012-12-20,"Sandler O'Neill & Partners, LP",Not Provided,3,hold,95.360000
1001,-0.000000,M,-2147483648,2012-12-20,Portales Partners,Not Provided,5,outperform,-0.000000
1002,-0.000000,M,-2147483648,2012-10-31,SunTrust Robinson Humphrey,Not Provided,3,neutral,-0.000000
1003,-0.000000,M,-2147483648,2012-10-26,UBS,12 month,3,neutral,92.710000
1004,-0.000000,M,-2147483648,2012-10-25,Goldman Sachs,12 month,3,neutral/neutral,95.360000
1005,-0.000000,M,-2147483648,2012-10-23,"Keefe, Bruyette & Woods",12 month,3,market perform,92.710000
1006,-0.000000,M,-2147483648,2013-02-28,William Blair & Co,Not Provided,3,market perform,-0.000000
1007,-0.000000,U,-2147483648,2013-02-26,"Sandler O'Neill & Partners, LP",Not Provided,5,buy,111.260000
1008,-0.000000,M,-2147483648,2013-02-20,UBS,12 month,3,neutral,98.010000
1009,-0.000000,M,-2147483648,2013-02-20,Macquarie,12 month,3,neutral,100.660000
1010,-0.000000,M,-2147483648,2013-02-20,Sterne Agee CRT,12 month,1,underperform,92.710000
1011,-0.000000,M,-2147483648,2013-02-20,MKM Partners,12 month,5,buy,105.960000
1012,-0.000000,M,-2147483648,2013-02-19,"Keefe, Bruyette & Woods",12 month,3,market perform,95.360000
1013,-0.000000,M,-2147483648,2013-02-19,Stephens Inc,Not Provided,3,equalweight,95.360000
1014,-0.000000,M,-2147483648,2013-02-19,Barclays,Not Provided,5,overweight,111.260000
1015,-0.000000,M,-2147483648,2013-02-15,Janney Montgomery Scott LLC,Not Provided,5,buy,-0.000000
1016,-0.000000,M,-2147483648,2013-02-14,"Miller Tabak + Co., LLC",12 month,3,hold,100.480000
1017,-0.000000,M,-2147483648,2013-02-13,Morgan Stanley,Not Provided,3,Equalwt/In-Line,-0.000000
1018,-0.000000,M,-2147483648,2013-02-13,SunTrust Robinson Humphrey,Not Provided,3,neutral,-0.000000
