,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price
99,-0.000000,M,-2147483648,2014-12-05,Buckingham Research Group,12 month,5,buy,61.000000
100,-0.000000,M,-2147483648,2014-11-20,Credit Suisse,Not Provided,5,outperform,60.000000
101,-0.000000,M,-2147483648,2014-11-04,EVA Dimensions,Not Provided,1,underweight,-0.000000
102,-0.000000,M,-2147483648,2014-10-31,"Morningstar, Inc",Not Provided,3,hold,-0.000000
103,-0.000000,M,-2147483648,2014-10-31,Longbow Research,Not Provided,3,neutral,-0.000000
104,-0.000000,M,-2147483648,2014-10-31,Susquehanna Financial,12 month,3,neutral,58.000000
105,-0.000000,M,-2147483648,2014-05-05,Spin-Off Research,Not Provided,3,hold,51.250000
106,-0.000000,N,-2147483648,2014-01-16,S&P Capital IQ,12 month,5,buy,52.000000
107,-0.000000,M,-2147483648,2015-01-26,Bernstein,Not Provided,5,outperform,62.000000
108,-0.000000,M,-2147483648,2015-01-23,Buckingham Research Group,12 month,5,buy,61.000000
109,-0.000000,M,-2147483648,2015-01-15,Credit Suisse,Not Provided,5,outperform,63.000000
110,-0.000000,M,-2147483648,2015-01-15,Imperial Capital LLC,Not Provided,5,outperform,60.000000
111,-0.000000,M,-2147483648,2014-11-04,EVA Dimensions,Not Provided,1,underweight,-0.000000
112,-0.000000,M,-2147483648,2014-10-31,"Morningstar, Inc",Not Provided,3,hold,-0.000000
113,-0.000000,M,-2147483648,2014-10-31,Longbow Research,Not Provided,3,neutral,-0.000000
114,-0.000000,M,-2147483648,2014-10-31,Susquehanna Financial,12 month,3,neutral,58.000000
115,-0.000000,M,-2147483648,2014-05-05,Spin-Off Research,Not Provided,3,hold,51.250000
116,-0.000000,N,-2147483648,2014-01-16,S&P Capital IQ,12 month,5,buy,52.000000
117,-0.000000,M,-2147483648,2015-02-27,Bernstein,Not Provided,5,outperform,64.000000
118,-0.000000,M,-2147483648,2015-02-25,Imperial Capital LLC,Not Provided,5,outperform,66.000000
119,-0.000000,M,-2147483648,2015-02-23,Longbow Research,Not Provided,3,neutral,-0.000000
120,-0.000000,M,-2147483648,2015-02-23,Susquehanna Financial,12 month,3,neutral,61.000000
121,-0.000000,M,-2147483648,2015-02-19,Buckingham Research Group,12 month,5,buy,61.000000
122,-0.000000,M,-2147483648,2015-02-19,"Morningstar, Inc",Not Provided,3,hold,-0.000000
123,-0.000000,D,-2147483648,2015-02-19,EVA Dimensions,Not Provided,1,underweight,-0.000000
124,-0.000000,M,-2147483648,2015-02-18,Credit Suisse,Not Provided,5,outperform,63.000000
125,-0.000000,N,-2147483648,2014-01-16,S&P Capital IQ,12 month,5,buy,52.000000
126,-0.000000,M,-2147483648,2015-03-31,Bernstein,Not Provided,5,outperform,64.000000
127,-0.000000,M,-2147483648,2015-03-18,Baird,Not Provided,5,outperform,67.000000
128,-0.000000,M,-2147483648,2015-03-18,Susquehanna Financial,12 month,3,neutral,61.000000
129,-0.000000,M,-2147483648,2015-03-17,Imperial Capital LLC,Not Provided,5,outperform,66.000000
130,-0.000000,M,-2147483648,2015-03-13,Buckingham Research Group,12 month,5,buy,65.000000
131,-0.000000,M,-2147483648,2015-03-10,Longbow Research,Not Provided,3,neutral,-0.000000
132,-0.000000,M,-2147483648,2015-03-09,Credit Suisse,Not Provided,5,outperform,63.000000
133,-0.000000,M,-2147483648,2015-03-09,"Morningstar, Inc",Not Provided,3,hold,-0.000000
134,-0.000000,U,-2147483648,2015-03-03,EVA Dimensions,Not Provided,5,overweight,-0.000000
135,-0.000000,D,-2147483648,2015-05-01,Bernstein,12 month,3,market perform,66.000000
136,-0.000000,M,-2147483648,2015-05-01,Imperial Capital LLC,12 month,5,outperform,68.000000
137,-0.000000,M,-2147483648,2015-05-01,"Morningstar, Inc",Not Provided,3,hold,-0.000000
138,-0.000000,M,-2147483648,2015-04-30,Credit Suisse,Not Provided,5,outperform,67.000000
139,-0.000000,M,-2147483648,2015-04-30,Baird,12 month,5,outperform,68.000000
140,-0.000000,M,-2147483648,2015-04-30,Buckingham Research Group,12 month,5,buy,69.000000
141,-0.000000,M,-2147483648,2015-04-30,Susquehanna Financial,12 month,3,neutral,62.000000
142,-0.000000,M,-2147483648,2015-03-10,Longbow Research,Not Provided,3,neutral,-0.000000
143,-0.000000,U,-2147483648,2015-03-03,EVA Dimensions,Not Provided,5,overweight,-0.000000
144,-0.000000,M,-2147483648,2015-06-01,Bernstein,Not Provided,3,market perform,66.000000
145,-0.000000,M,-2147483648,2015-05-20,Baird,Not Provided,5,outperform,68.000000
146,-0.000000,M,-2147483648,2015-05-11,Buckingham Research Group,12 month,5,buy,69.000000
147,-0.000000,M,-2147483648,2015-05-06,Longbow Research,Not Provided,3,neutral,-0.000000
148,-0.000000,M,-2147483648,2015-05-05,"Morningstar, Inc",Not Provided,3,hold,-0.000000
149,-0.000000,M,-2147483648,2015-05-04,Susquehanna Financial,12 month,3,neutral,64.000000
150,-0.000000,M,-2147483648,2015-05-01,Imperial Capital LLC,12 month,5,outperform,68.000000
151,-0.000000,M,-2147483648,2015-04-30,Credit Suisse,Not Provided,5,outperform,67.000000
152,-0.000000,U,-2147483648,2015-03-03,EVA Dimensions,Not Provided,5,overweight,-0.000000
153,-0.000000,M,-2147483648,2015-06-29,Baird,12 month,5,outperform,68.000000
154,-0.000000,M,-2147483648,2015-06-29,Imperial Capital LLC,12 month,5,outperform,68.000000
155,-0.000000,M,-2147483648,2015-06-24,Buckingham Research Group,12 month,5,buy,69.000000
156,-0.000000,M,-2147483648,2015-06-23,"Morningstar, Inc",Not Provided,3,hold,-0.000000
157,-0.000000,M,-2147483648,2015-06-04,Bernstein,Not Provided,3,market perform,66.000000
158,-0.000000,M,-2147483648,2015-05-06,Longbow Research,Not Provided,3,neutral,-0.000000
159,-0.000000,M,-2147483648,2015-05-04,Susquehanna Financial,12 month,3,neutral,64.000000
160,-0.000000,M,-2147483648,2015-04-30,Credit Suisse,Not Provided,5,outperform,67.000000
161,-0.000000,U,-2147483648,2015-03-03,EVA Dimensions,Not Provided,5,overweight,-0.000000
162,-0.000000,M,-2147483648,2015-07-31,Baird,12 month,5,outperform,72.000000
163,-0.000000,M,-2147483648,2015-07-31,Bernstein,12 month,3,market perform,69.000000
164,-0.000000,M,-2147483648,2015-07-31,Imperial Capital LLC,12 month,5,outperform,68.000000
