,index,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price,Unnamed: 0
74,74,-0.0,M,-2147483648,2015-11-15,Credit Suisse,Not Provided,5,outperform,42.0,74.0
75,75,-0.0,M,-2147483648,2015-11-05,Morgan Stanley,Not Provided,-2147483648,restricted,-0.0,75.0
76,76,-0.0,M,-2147483648,2015-10-29,UBS,12 month,5,buy,47.0,76.0
77,77,-0.0,M,-2147483648,2015-10-29,William Blair & Co,Not Provided,5,outperform,-0.0,77.0
78,78,-0.0,N,-2147483648,2015-10-12,New Street Research,Not Provided,5,buy,36.5,78.0
79,79,-0.0,N,-2147483648,2015-08-17,EVA Dimensions,Not Provided,5,overweight,-0.0,79.0
80,80,-0.0,M,-2147483648,2015-08-05,Spin-Off Research,Not Provided,3,neutral,35.0,80.0
81,81,-0.0,M,-2147483648,2015-08-04,Goldman Sachs,Not Provided,-2147483648,not rated,-0.0,81.0
82,82,-0.0,M,-2147483648,2015-07-30,J.P. Morgan,18 month,3,neutral,35.0,82.0
83,83,-0.0,M,-2147483648,2016-01-27,Cowen,12 month,5,outperform,46.0,83.0
84,84,-0.0,M,-2147483648,2016-01-19,Shore Capital Stockbrokers,Not Provided,-2147483648,corporate,-0.0,84.0
85,85,-0.0,M,-2147483648,2016-01-12,Spin-Off Research,Not Provided,3,neutral,41.0,85.0
86,86,-0.0,M,-2147483648,2016-01-11,Credit Suisse,Not Provided,5,outperform,42.0,86.0
87,87,-0.0,M,-2147483648,2016-01-11,Edward Jones,Not Provided,3,hold,-0.0,87.0
88,88,-0.0,M,-2147483648,2016-01-11,William Blair & Co,Not Provided,5,outperform,-0.0,88.0
89,89,-0.0,M,-2147483648,2016-01-11,"Morningstar, Inc",Not Provided,3,hold,-0.0,89.0
90,90,-0.0,M,-2147483648,2016-01-11,Barclays,Not Provided,-2147483648,suspended coverage,-0.0,90.0
91,91,-0.0,M,-2147483648,2015-11-05,Morgan Stanley,Not Provided,-2147483648,restricted,-0.0,91.0
92,92,-0.0,M,-2147483648,2015-10-29,UBS,12 month,5,buy,47.0,92.0
93,93,-0.0,N,-2147483648,2015-10-12,New Street Research,Not Provided,5,buy,36.5,93.0
94,94,-0.0,N,-2147483648,2015-08-17,EVA Dimensions,Not Provided,5,overweight,-0.0,94.0
95,95,-0.0,M,-2147483648,2015-08-04,Goldman Sachs,Not Provided,-2147483648,not rated,-0.0,95.0
96,96,-0.0,M,-2147483648,2015-07-30,J.P. Morgan,18 month,3,neutral,35.0,96.0
97,97,-0.0,M,-2147483648,2016-02-24,William Blair & Co,Not Provided,5,outperform,-0.0,97.0
98,98,-0.0,M,-2147483648,2016-02-16,UBS,12 month,5,buy,46.0,98.0
99,99,-0.0,M,-2147483648,2016-02-16,Edward Jones,Not Provided,3,hold,-0.0,99.0
100,100,-0.0,M,-2147483648,2016-02-16,Cowen,12 month,5,outperform,46.0,100.0
101,101,-0.0,M,-2147483648,2016-02-16,"Morningstar, Inc",Not Provided,5,buy,-0.0,101.0
102,102,-0.0,M,-2147483648,2016-02-09,Shore Capital Stockbrokers,Not Provided,-2147483648,not rated,-0.0,102.0
103,103,-0.0,M,-2147483648,2016-02-04,Credit Suisse,Not Provided,-2147483648,not rated,-0.0,103.0
104,104,-0.0,M,-2147483648,2016-02-04,Spin-Off Research,Not Provided,3,neutral,41.0,104.0
105,105,-0.0,M,-2147483648,2016-01-11,Barclays,Not Provided,-2147483648,suspended coverage,-0.0,105.0
106,106,-0.0,M,-2147483648,2015-11-05,Morgan Stanley,Not Provided,-2147483648,restricted,-0.0,106.0
107,107,-0.0,N,-2147483648,2015-10-12,New Street Research,Not Provided,5,buy,36.5,107.0
108,108,-0.0,N,-2147483648,2015-08-17,EVA Dimensions,Not Provided,5,overweight,-0.0,108.0
